year,jurisdiction,filing_status,lower_bound,upper_bound,percent
2022,CA,single,0,10099,0.01
2022,CA,single,10100,23942,0.02
2022,CA,single,23943,37788,0.04
2022,CA,single,37789,52455,0.06
2022,CA,single,52456,66295,0.08
2022,CA,single,66296,338639,0.093
2022,CA,single,338640,406364,0.103
2022,CA,single,406365,677275,0.113
2022,CA,single,677276,999999,0.123
2022,CA,single,1000000,9999999999,0.133
2022,CA,separate,0,10099,0.01
2022,CA,separate,10100,23942,0.02
2022,CA,separate,23943,37788,0.04
2022,CA,separate,37789,52455,0.06
2022,CA,separate,52456,66295,0.08
2022,CA,separate,66296,338639,0.093
2022,CA,separate,338640,406364,0.103
2022,CA,separate,406365,677275,0.113
2022,CA,separate,677276,999999,0.123
2022,CA,separate,1000000,9999999999,0.133
2022,CA,joint,0,20198,0.01
2022,CA,joint,20199,47884,0.02
2022,CA,joint,47885,75576,0.04
2022,CA,joint,75577,104910,0.06
2022,CA,joint,104911,132590,0.08
2022,CA,joint,132591,677278,0.093
2022,CA,joint,677279,812728,0.103
2022,CA,joint,812729,1354550,0.113
2022,CA,joint,1354551,1999999,0.123
2022,CA,joint,2000000,9999999999,0.133
2022,CA,widow,0,20198,0.01
2022,CA,widow,20199,47884,0.02
2022,CA,widow,47885,75576,0.04
2022,CA,widow,75577,104910,0.06
2022,CA,widow,104911,132590,0.08
2022,CA,widow,132591,677278,0.093
2022,CA,widow,677279,812728,0.103
2022,CA,widow,812729,1354550,0.113
2022,CA,widow,1354551,1999999,0.123
2022,CA,widow,2000000,9999999999,0.133
2022,CA,head,0,20212,0.01
2022,CA,head,20213,47887,0.02
2022,CA,head,47888,61730,0.04
2022,CA,head,61731,76397,0.06
2022,CA,head,76398,90240,0.08
2022,CA,head,90241,460547,0.093
2022,CA,head,460548,552658,0.103
2022,CA,head,552659,921095,0.113
2022,CA,head,921096,999999,0.123
2022,CA,head,1000000,9999999999,0.133
