year,jurisdiction,filing_status,lower_bound,upper_bound,tax_rate
2022,Federal,single,0,10275,0.10
2022,Federal,single,10276,41775,0.12
2022,Federal,single,41776,89075,0.22
2022,Federal,single,89076,170050,0.24
2022,Federal,single,170051,215950,0.32
2022,Federal,single,215951,539900,0.35
2022,Federal,single,539901,9999999999,0.37
2022,Federal,joint,0,20550,0.10
2022,Federal,joint,20551,83550,0.12
2022,Federal,joint,83551,178150,0.22
2022,Federal,joint,178151,340100,0.24
2022,Federal,joint,340101,431900,0.32
2022,Federal,joint,431901,647850,0.35
2022,Federal,joint,647851,9999999999,0.37
2022,Federal,separate,0,10275,0.10
2022,Federal,separate,10276,41775,0.12
2022,Federal,separate,41776,89075,0.22
2022,Federal,separate,89076,170050,0.24
2022,Federal,separate,170051,215950,0.32
2022,Federal,separate,215951,323925,0.35
2022,Federal,separate,323926,9999999999,0.37
2022,Federal,head,0,14650,0.10
2022,Federal,head,14651,55900,0.12
2022,Federal,head,55901,89050,0.22
2022,Federal,head,89051,170050,0.24
2022,Federal,head,170051,215950,0.32
2022,Federal,head,215951,539900,0.35
2022,Federal,head,539901,9999999999,0.37
2022,Federal,widow,0,20550,0.10
2022,Federal,widow,20551,83550,0.12
2022,Federal,widow,83551,178150,0.22
2022,Federal,widow,178151,340100,0.24
2022,Federal,widow,340101,431900,0.32
2022,Federal,widow,431901,647850,0.35
2022,Federal,widow,647851,9999999999,0.37
